#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,last,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,car,class
,,0,,,2024-07-14T19:22:42.338Z,42,Second,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:42.338Z,22,Minute,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:42.338Z,2,Hour,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:42.338Z,15,Day,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:42.338Z,7,Month,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:42.338Z,24,Year,MEMORATOR,Brightside,RTCTimestamp
,,0,,,2024-07-14T19:22:42.379Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:42.379Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:42.379Z,3,DriveState,MCB,Brightside,MCBDriveState
,,0,,,2024-07-14T19:22:42.380Z,1371,ThrottleADCReading,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.380Z,0,PedalADCOutOfRange,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.380Z,1,RegenEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.380Z,0,CruiseControlEnabled,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.380Z,0,MechBrakePressed,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.380Z,1,MDICommFault,MCB,Brightside,MCBDiagnostics
,,0,,,2024-07-14T19:22:42.429Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:42.429Z,0.0,MotorCurrent,MCB,Brightside,PercentageOfMaxCurrent
,,0,,,2024-07-14T19:22:42.429Z,1.22072175176,PackCurrent,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.429Z,12.305,SuppBattVoltage,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.429Z,0.0,LVCurrent,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.429Z,0,PackOverDischargeWarning,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.429Z,0,PackOverChargeWarning,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.429Z,0,DOC,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.429Z,0,COC,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.429Z,0,ResetFromWatchdog,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.429Z,1,ESTOP_Pressed,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.429Z,31,VicorHeatSinkTemp,ECU,Brightside,ECUStatus
,,0,,,2024-07-14T19:22:42.479Z,0.0,MotorVelocity,MCB,Brightside,PercentageOfMaxCurrent
